id,role,domain,core_skills,programming_languages,frameworks_and_libraries,tools_and_technologies,platforms_and_cloud,methodologies_and_practices,soft_skills,optional_advanced_skills,years_to_entry_level,learning_path_step1,learning_path_step2,learning_path_step3
"1","UI Designer","Frontend Design & Visual Development","Visual Design, Typography, Color Theory, Layout & Grid Systems, Iconography, Prototyping, Wireframing, Design Systems, Responsive Design, Accessibility, HTML/CSS (basic understanding), Motion Design (basic)","HTML, CSS","Bootstrap, Material-UI, Tailwind CSS","Figma, Sketch, Adobe XD, Adobe Photoshop, Adobe Illustrator, Zeplin, InVision, Storybook","Dribbble, Behance, GitHub, Webflow","Atomic Design, Design Thinking, User-Centered Design, Agile","Communication, Collaboration, Attention to Detail, Creativity, Problem-solving, Adaptability, Presentation Skills","Motion Graphics (After Effects), 3D Design (Blender/Spline), Front-end Frameworks (React/Vue basics), Brand Identity Design","1-2","Step 1: Master graphic design fundamentals, including color theory, typography, and visual hierarchy.","Step 2: Become proficient in industry-standard design tools like Figma, Sketch, or Adobe XD for wireframing, prototyping, and high-fidelity mockups.","Step 3: Learn responsive design principles and gain a foundational understanding of HTML and CSS for effective collaboration with developers."
"2","UX Designer","User Experience Design & Research","User Research, Usability Testing, Information Architecture, Wireframing, Prototyping, Interaction Design, User Flows, Persona Development, Empathy Mapping, Heuristic Evaluation, Accessibility, A/B Testing (basic), Data Analysis (UX metrics)","","Material Design, Apple Human Interface Guidelines, Design Systems","Figma, Sketch, Adobe XD, Miro, Optimal Workshop, UserTesting.com, SurveyMonkey, Hotjar, Maze, Dovetail","UserZoom, Lookback.io, Google Analytics (for UX insights), Jira, Confluence","Design Thinking, User-Centered Design, Lean UX, Agile UX, Double Diamond, Jobs-to-be-Done (JTBD)","Empathy, Critical Thinking, Communication, Collaboration, Presentation, Problem-solving, Storytelling, Active Listening","Service Design, CX Strategy, Data Science for UX, AI/ML in UX, Conversational UI/UX, Ethnography","1-2","Step 1: Develop a deep understanding of user psychology, human-computer interaction (HCI), and various user research methods.","Step 2: Learn information architecture, wireframing, and interactive prototyping using leading design tools like Figma or Adobe XD.","Step 3: Gain hands-on experience in planning and conducting usability tests, analyzing feedback, and iterating on designs based on insights."
"3","Product Designer","Product Management & Design Strategy","UI/UX Design, Product Strategy, Market Research, Business Acumen, Data Analysis (product metrics), A/B Testing, Stakeholder Management, Roadmap Planning, Prototyping, Information Architecture, User Stories, Journey Mapping, Competitive Analysis, Feature Prioritization","","Design Systems (e.g., Material Design, Ant Design), Agile/Scrum tools","Figma, Sketch, Adobe XD, Miro, Asana/Jira, Google Analytics, Mixpanel, Hotjar, Loom, UserZoom, ProductBoard","Pendo.io, Amplitude, Aha!, AWS/Azure/GCP (conceptual understanding)","Design Thinking, Lean Startup, Agile, Scrum, Kanban, OKRs, Jobs-to-be-Done (JTBD), Hypothesis-Driven Development","Leadership, Strategic Thinking, Communication, Negotiation, Empathy, Problem-solving, Visionary, Storytelling, Facilitation, Conflict Resolution","Growth Hacking, AI/ML Product Integration, Service Design, Brand Strategy, Technical Product Management, Monetization Strategy","2-3","Step 1: Build a strong foundation in both UI and UX design principles, tools, and best practices.","Step 2: Develop a solid understanding of business acumen, product lifecycle, market research, and competitive analysis techniques.","Step 3: Gain experience in product strategy, roadmap planning, data analysis for product decisions, and effective stakeholder communication."
"4","Interaction Designer","UX/UI Design, Product Design","User Research, Wireframing, Prototyping, Usability Testing, Information Architecture, Interaction Flow Design","HTML, CSS (basic understanding), JavaScript (conceptual)","Figma Prototypes, Adobe XD Prototypes, Axure RP Libraries","Figma, Sketch, Adobe XD, Axure RP, Miro, Maze, UserTesting","Web (Desktop, Mobile), iOS, Android","Design Thinking, User-Centered Design, Agile UX, Lean UX, Goal-Directed Design","Empathy, Communication, Collaboration, Problem-solving, Critical Thinking, Storytelling, Attention to Detail","Motion Design, AR/VR Interaction, Conversational UI Design, AI-powered UX","1-2","Step 1: Focus on learning core UX principles: user research, information architecture, and interaction design fundamentals.","Step 2: Master industry-standard design and prototyping tools such as Figma, Sketch, or Adobe XD.","Step 3: Gain hands-on experience in wireframing, prototyping, and conducting usability tests for various digital products."
"5","Visual Designer","UX/UI Design, Graphic Design, Brand Design","Typography, Color Theory, Layout Design, Iconography, Visual Hierarchy, Branding, Photo Editing, Illustration","N/A (basic HTML/CSS understanding for web context)","Design Systems, UI Kits, Component Libraries","Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Figma, Sketch, Adobe XD, Blender (basic 3D)","Web, Mobile, Print, Digital Advertising","Design Thinking, Brand Guidelines, Atomic Design, Gestalt Principles, Accessibility Standards","Creativity, Attention to Detail, Aesthetic Sense, Communication, Adaptability, Collaboration, Problem-solving","Motion Graphics, 3D Design, AI in Generative Design, Brand Strategy, Advanced Photography","1-2","Step 1: Master fundamental graphic design principles: color theory, typography, composition, and visual hierarchy.","Step 2: Become highly proficient in industry-standard design tools like Adobe Creative Suite (Photoshop, Illustrator) and modern UI tools (Figma, Sketch).","Step 3: Learn how to apply visual design principles to digital interfaces, focusing on consistency, brand identity, and user readability."
"6","Mobile UI Designer","UX/UI Design, Mobile App Development","Mobile UI Principles (iOS HIG, Material Design), Wireframing, Prototyping, Responsive Design, Usability Testing (Mobile), Interaction Design for Mobile, Accessibility","N/A (understanding of Swift, Kotlin, React Native concepts)","Figma Prototypes, Sketch Libraries, Adobe XD Prototypes, iOS UI Kit, Material Design Components","Figma, Sketch, Adobe XD, Principle, ProtoPie, Zeplin, InVision","iOS, Android","Mobile-First Design, User-Centered Design, Agile UX, Design Sprints, Atomic Design","Attention to Detail, Problem-solving, Adaptability, Collaboration, Empathy, Communication, Creativity","Micro-interactions, AR/VR Mobile Interfaces, Haptic Feedback Design, Accessibility for Mobile","1-2","Step 1: Deeply understand mobile-first design principles, iOS Human Interface Guidelines, and Android Material Design.","Step 2: Master design and prototyping tools like Figma, Sketch, or Adobe XD specifically for mobile interfaces.","Step 3: Practice creating responsive and adaptive designs that function seamlessly across various mobile screen sizes and orientations."
"7","iOS UI/UX Designer","Mobile UI/UX Design","UI Design Principles, UX Design Principles, Information Architecture, Interaction Design, Prototyping, Wireframing, User Flows, Usability Testing, Accessibility, Human Interface Guidelines (HIG)","Swift (understanding for development context), JSON, XML","UIKit, SwiftUI, Auto Layout, Core Animation","Sketch, Figma, Adobe XD, Principle, Lottie, Xcode, TestFlight, Zeplin","Apple Ecosystem (iOS, iPadOS, watchOS), iCloud","User-Centered Design (UCD), Agile, Design Thinking, Atomic Design, A/B Testing","Communication, Collaboration, Empathy, Problem-solving, Attention to Detail, Critical Thinking, Presentation Skills","Motion Design, AR/VR Design, Advanced Prototyping with code, Data Visualization, Service Design","1-2","Step 1: Understand fundamental UI/UX principles, design thinking, and mobile design patterns.","Step 2: Master design tools like Figma or Sketch for wireframing, prototyping, and high-fidelity mockups.","Step 3: Deep dive into Apple Human Interface Guidelines (HIG) and iOS-specific design patterns, including SwiftUI and UIKit basics to understand implementation constraints."
"8","Android UI/UX Designer","Mobile UI/UX Design","UI Design Principles, UX Design Principles, Information Architecture, Interaction Design, Prototyping, Wireframing, User Flows, Usability Testing, Accessibility, Material Design Guidelines","Kotlin (understanding for development context), Java (legacy context), JSON, XML","Android Jetpack Compose, Android XML Layouts, ConstraintLayout, RecyclerView, Android Design Support Library","Figma, Adobe XD, Sketch, ProtoPie, Android Studio (for design review), Firebase, Google Play Console","Android Ecosystem (Phones, Tablets, Wear OS, Android TV), Google Cloud Platform","User-Centered Design (UCD), Agile, Design Thinking, Atomic Design, Accessibility Auditing","Communication, Collaboration, Empathy, Problem-solving, Adaptability, Critical Thinking, Stakeholder Management","Motion Design for Android, ARCore Design, Advanced Prototyping with Lottie, A/B Testing UX","1-2","Step 1: Grasp core UI/UX design principles and the design thinking process, with a focus on mobile experiences.","Step 2: Master design and prototyping tools like Figma or Adobe XD for creating Android app interfaces.","Step 3: Deeply understand Google Material Design guidelines, Android-specific patterns, and Jetpack Compose basics to inform design decisions."
"9","UX Researcher","User Experience Research","Qualitative Research, Quantitative Research, User Interviews, Usability Testing, A/B Testing, Survey Design, Data Analysis, Persona Development, User Journey Mapping, Empathy Mapping, Moderating Sessions, Hypothesis Testing, Thematic Analysis","R, Python (for statistical analysis and scripting, optional but beneficial for advanced roles)","Statistical libraries (e.g., NumPy, Pandas in Python), survey platforms, analytics tools, visualization libraries","Qualtrics, SurveyMonkey, Google Forms, Optimal Workshop, UserTesting.com, Maze, Hotjar, Google Analytics, Excel/Google Sheets, SPSS, NVivo, Miro, Figma (for research artifacts)","Cloud data storage (e.g., Google Drive, SharePoint), user research platforms","Design Thinking, Lean UX, Human-Centered Design, Ethnographic Research, Contextual Inquiry, Card Sorting, Tree Testing, Focus Groups","Empathy, Communication, Active Listening, Critical Thinking, Analytical Thinking, Storytelling, Facilitation, Objectivity, Collaboration, Presentation Skills","Eye-tracking research, Biometric data analysis, Statistical modeling, Machine learning for insights, Service Design, A/B testing implementation strategies","1-3","Step 1: Understand foundational UX principles and a wide range of research methodologies (qualitative and quantitative).","Step 2: Learn and practice various research methods: user interviews, usability testing, surveys, field studies, and competitive analysis.","Step 3: Gain proficiency in user research tools for data collection, analysis, and synthesis, including survey platforms and analytics tools."
"10","UX Writer","User Experience, Content Strategy","UX writing principles, Content strategy, User research, Information architecture, Microcopy, Style guides, Brand voice, Accessibility","N/A (Basic HTML/CSS understanding is a plus)","N/A","Figma, Sketch, Adobe XD, Miro, Content Management Systems (CMS), User testing platforms (e.g., UserTesting.com)","Web platforms, Mobile applications, Voice user interfaces (VUIs), AI chatbots","Design thinking, Agile, User-centered design, Content audits, A/B testing, Heuristic evaluation","Empathy, Clarity, Conciseness, Collaboration, Critical thinking, Storytelling, Persuasion, Adaptability","AI content generation tools, Localization, Voice UX design, Accessibility content strategy, Content design systems","1-2","Step 1: Understand fundamental UX principles and content strategy.","Step 2: Learn to write for digital products, focusing on clarity, conciseness, and user empathy.","Step 3: Practice with design tools like Figma and participate in user research processes."
