"job_role","required_skills","project_name","project_description","project_github_link","certification_name","certification_provider","certification_link"
"UI Designer","Visual Design, Typography, Color Theory, Layout & Grid Systems, Iconography, Prototyping, Wireframing, Design Systems, Responsive Design, Accessibility, HTML/CSS (basic understanding), Motion Design (basic), HTML, CSS, Bootstrap, Material-UI, Tailwind CSS","E-commerce Mobile App UI","A high-fidelity UI design for a responsive e-commerce mobile application, focusing on intuitive navigation, product display, and a streamlined checkout flow. Uses Figma for mockups and incorporates a modern design system.","https://github.com/ui-design-templates/ecommerce-mobile-app-ui-kit","Google UX Design Professional Certificate","Google (Coursera)","https://www.coursera.org/professional-certificates/google-ux-design"
"UI Designer","Visual Design, Typography, Color Theory, Layout & Grid Systems, Iconography, Prototyping, Wireframing, Design Systems, Responsive Design, Accessibility, HTML/CSS (basic understanding), Motion Design (basic), HTML, CSS, Bootstrap, Material-UI, Tailwind CSS","SaaS Dashboard Redesign","A complete UI overhaul for a B2B SaaS analytics dashboard, improving data visualization, widget organization, and overall user interaction. Designed with a focus on dark mode implementation and accessibility.","https://github.com/ui-design-templates/saas-dashboard-redesign-ui","Adobe Certified Professional (ACP) in Visual Design","Adobe","https://certiport.pearsonvue.com/Certifications/Adobe/ACP/Overview"
"UI Designer","Visual Design, Typography, Color Theory, Layout & Grid Systems, Iconography, Prototyping, Wireframing, Design Systems, Responsive Design, Accessibility, HTML/CSS (basic understanding), Motion Design (basic), HTML, CSS, Bootstrap, Material-UI, Tailwind CSS","Portfolio Website UI Kit","A comprehensive UI kit for a personal portfolio website, including various page layouts, interactive elements, and a style guide. Showcases responsive design for desktop, tablet, and mobile views.","https://github.com/ui-design-templates/portfolio-website-ui-kit","Meta Front-End Developer Professional Certificate","Meta (Coursera)","https://www.coursera.org/professional-certificates/meta-front-end-developer"
"UI Designer","Visual Design, Typography, Color Theory, Layout & Grid Systems, Iconography, Prototyping, Wireframing, Design Systems, Responsive Design, Accessibility, HTML/CSS (basic understanding), Motion Design (basic), HTML, CSS, Bootstrap, Material-UI, Tailwind CSS","Social Media Platform UI","Design of key screens for a new social media platform, including feed, profile, messaging, and post creation interfaces. Emphasizes clean aesthetics and engaging user interactions across all touchpoints.","https://github.com/ui-design-templates/social-media-platform-ui","Interaction Design Foundation (IxDF) Certificate: Visual Design","Interaction Design Foundation","https://www.interaction-design.org/courses/visual-design-the-ultimate-guide"
"UI Designer","Visual Design, Typography, Color Theory, Layout & Grid Systems, Iconography, Prototyping, Wireframing, Design Systems, Responsive Design, Accessibility, HTML/CSS (basic understanding), Motion Design (basic), HTML, CSS, Bootstrap, Material-UI, Tailwind CSS","Food Delivery App UI","A complete UI design for a food delivery application, covering restaurant listings, menu browsing, order customization, and tracking. Focuses on visual appeal and ease of use for quick ordering and reordering.","https://github.com/ui-design-templates/food-delivery-app-ui","UI Design Masterclass: Figma & Webflow","Udemy","https://www.udemy.com/course/complete-web-designer-mobile-designer-from-scratch/"
"UI Designer","Visual Design, Typography, Color Theory, Layout & Grid Systems, Iconography, Prototyping, Wireframing, Design Systems, Responsive Design, Accessibility, HTML/CSS (basic understanding), Motion Design (basic), HTML, CSS, Bootstrap, Material-UI, Tailwind CSS","Smart Home Control Dashboard UI","Design of an intuitive dashboard for managing smart home devices, featuring controls for lighting, temperature, security, and media. Prioritizes clear status indicators and quick access to critical functions.","https://github.com/ui-design-templates/smart-home-dashboard-ui","Responsive Web Design Certification","freeCodeCamp","https://www.freecodecamp.org/learn/responsive-web-design/"
"UX Designer","User Research, Usability Testing, Information Architecture, Wireframing, Prototyping, Interaction Design, User Flows, Persona Development, Empathy Mapping, Heuristic Evaluation, Accessibility, A/B Testing (basic), Data Analysis (UX metrics), Material Design, Apple Human Interface Guidelines, Design Systems","Redesigning a Complex Web Application UX","A UX case study for redesigning an existing project management web application to improve information architecture, navigation, and task flow. This project is based on extensive user research and usability testing.","https://github.com/ux-case-studies/project-management-app-ux-redesign","Google UX Design Professional Certificate","Google (Coursera)","https://www.coursera.org/professional-certificates/google-ux-design"
"UX Designer","User Research, Usability Testing, Information Architecture, Wireframing, Prototyping, Interaction Design, User Flows, Persona Development, Empathy Mapping, Heuristic Evaluation, Accessibility, A/B Testing (basic), Data Analysis (UX metrics), Material Design, Apple Human Interface Guidelines, Design Systems","Developing a New Mobile App UX from Scratch","A comprehensive UX design for a new meditation and mindfulness mobile application, including user research, persona creation, user flows, wireframes, and low-fidelity prototypes. Focuses on a calming and intuitive user journey.","https://github.com/ux-case-studies/meditation-app-ux-design","Certified Professional in User Experience (CPUX-F)","UXQB","https://uxqb.org/en/certifications/cpuuxt-foundation-level/"
"UX Designer","User Research, Usability Testing, Information Architecture, Wireframing, Prototyping, Interaction Design, User Flows, Persona Development, Empathy Mapping, Heuristic Evaluation, Accessibility, A/B Testing (basic), Data Analysis (UX metrics), Material Design, Apple Human Interface Guidelines, Design Systems","Improving Onboarding Flow for an Existing SaaS Product","A UX research and design project focused on optimizing the user onboarding experience for a B2B SaaS product. This involves identifying friction points, designing improvements, and validating changes through A/B testing and analytics.","https://github.com/ux-case-studies/saas-onboarding-ux-optimization","Interaction Design Foundation (IxDF) Certificate: User Research – Methods and Best Practices","Interaction Design Foundation","https://www.interaction-design.org/courses/user-research-methods-and-best-practices"
"UX Designer","User Research, Usability Testing, Information Architecture, Wireframing, Prototyping, Interaction Design, User Flows, Persona Development, Empathy Mapping, Heuristic Evaluation, Accessibility, A/B Testing (basic), Data Analysis (UX metrics), Material Design, Apple Human Interface Guidelines, Design Systems","Designing an Accessible E-Learning Platform","UX design for an e-learning platform specifically tailored to meet WCAG accessibility standards, incorporating inclusive design principles from research through prototyping. Focuses on cognitive and physical accessibility.","https://github.com/ux-case-studies/accessible-e-learning-platform-ux","Nielsen Norman Group UX Certification Program (Usability Testing)","Nielsen Norman Group (NN/g)","https://www.nngroup.com/ux-certification/"
