"job_role","required_skills","project_name","project_description","project_github_link","certification_name","certification_provider","certification_link"
"Frontend Developer","HTML5, CSS3, JavaScript (Vanilla)","Vanilla JS SPA Router","Build a single-page app router from scratch without frameworks using the History API and dynamic DOM rendering","https://github.com/nicolo-ribaudo/history-api-spa","HTML CSS JavaScript","freeCodeCamp","https://www.freecodecamp.org/learn/2022/responsive-web-design/"
"Frontend Developer","React 18, TypeScript, TailwindCSS","React Dashboard UI","Build a responsive admin dashboard with dark mode data tables and charts using React 18 and TailwindCSS","https://github.com/cruip/tailwind-dashboard-template","Meta Front-End Developer","Coursera / Meta","https://www.coursera.org/professional-certificates/meta-front-end-developer"
"Frontend Developer","React, Redux Toolkit, RTK Query","E-Commerce Cart App","Develop a shopping cart with Redux Toolkit for state management and RTK Query for API data fetching","https://github.com/reduxjs/redux-toolkit","Front End Development Libraries","freeCodeCamp","https://www.freecodecamp.org/learn/front-end-development-libraries/"
"Frontend Developer","Next.js 14, TypeScript, Prisma","Next.js Blog with MDX","Create a full-featured blog with Next.js App Router MDX rendering dynamic routing and ISR","https://github.com/vercel/next.js/tree/canary/examples/blog","React and Next.js – Full Course","Udemy","https://www.udemy.com/course/nextjs-react-the-complete-guide/"
"Frontend Developer","Vue 3, Pinia, Vite","Vue 3 Task Manager","Build a task manager SPA with Vue 3 Composition API Pinia store and Vite bundler","https://github.com/vuejs/create-vue","Vue - The Complete Guide","Udemy","https://www.udemy.com/course/vuejs-2-the-complete-guide/"
"Frontend Developer","Nuxt 3, Vue 3, TailwindCSS","Nuxt 3 Portfolio Site","Build a fast SSR portfolio with Nuxt 3 auto-imports TailwindCSS and Nuxt Content module","https://github.com/nuxt/nuxt","Nuxt.js – Vue.js on Steroids","Udemy","https://www.udemy.com/course/nuxtjs-vuejs-on-steroids/"
"Frontend Developer","Angular 17, RxJS, NgRx","Angular News Aggregator","Develop a real-time news aggregator using Angular 17 standalone components NgRx and RxJS observables","https://github.com/angular/angular","Angular – The Complete Guide","Udemy","https://www.udemy.com/course/the-complete-guide-to-angular-2/"
"Frontend Developer","Svelte, SvelteKit, TypeScript","SvelteKit E-Commerce","Build an e-commerce storefront with SvelteKit server-side routing form actions and Stripe checkout","https://github.com/sveltejs/kit","Svelte JS – The Complete Guide","Udemy","https://www.udemy.com/course/sveltejs-the-complete-guide/"
"Frontend Developer","Astro, React, MDX","Astro Documentation Site","Create a high-performance documentation site using Astro Islands architecture with React components and MDX","https://github.com/withastro/astro","JavaScript Algorithms and Data Structures","freeCodeCamp","https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures/"
"Frontend Developer","Remix, React, TypeScript","Remix Social Feed","Build a social media feed with Remix nested routes loaders actions and optimistic UI updates","https://github.com/remix-run/remix","Full Stack Open 2024","University of Helsinki","https://fullstackopen.com/en/"
"Frontend Developer","React Native, Expo, TypeScript","Expo Finance Tracker","Build a cross-platform personal finance tracker with Expo Router charts and local SQLite storage","https://github.com/expo/expo","React Native – The Practical Guide","Udemy","https://www.udemy.com/course/react-native-the-practical-guide/"
"Frontend Developer","Three.js, WebGL, GSAP","3D Product Showcase","Create an interactive 3D product viewer using Three.js WebGL shaders and GSAP scroll animations","https://github.com/mrdoob/three.js","Three.js Journey","Bruno Simon","https://threejs-journey.com/"
"Frontend Developer","Web Components, Shadow DOM","UI Component Library","Build a framework-agnostic UI component library using native Web Components Custom Elements and Shadow DOM","https://github.com/lit/lit","Web Components & Stencil.js","Udemy","https://www.udemy.com/course/web-components-stenciljs-build-custom-html-elements/"
"Frontend Developer","PWA, Service Workers, Workbox","Offline News PWA","Turn a web app into a Progressive Web App with offline support push notifications and home screen install","https://github.com/GoogleChrome/workbox","Progressive Web Apps Training","Google Developers","https://web.dev/learn/pwa/"
"Frontend Developer","Storybook, React, Jest","Component-Driven Design System","Build and document a design system with Storybook atomic components accessibility testing and Jest","https://github.com/storybookjs/storybook","Testing React with Jest and Testing Library","Udemy","https://www.udemy.com/course/react-testing-library/"
"Backend Developer","Node.js, Express, MongoDB, JWT","Express Auth API","Build a secure REST API with Express JWT authentication bcrypt password hashing and Mongoose ODM","https://github.com/expressjs/express","Node.js Developer Course","Udemy","https://www.udemy.com/course/the-complete-nodejs-developer-course-2/"
"Backend Developer","Node.js, Fastify, PostgreSQL","Fastify REST Service","Create a high-performance REST API with Fastify schema validation plugins and PostgreSQL via pg-promise","https://github.com/fastify/fastify","Node.js – The Complete Guide","Udemy","https://www.udemy.com/course/nodejs-the-complete-guide/"
"Backend Developer","Node.js, NestJS, TypeORM","NestJS Microservice","Develop a modular NestJS microservice with TypeORM guards interceptors and Swagger documentation","https://github.com/nestjs/nest","NestJS Zero to Hero","Udemy","https://www.udemy.com/course/nestjs-zero-to-hero/"
"Backend Developer","Python, FastAPI, SQLAlchemy, Alembic","FastAPI Blog Engine","Build a blog REST API with FastAPI async endpoints SQLAlchemy ORM Alembic migrations and Pydantic v2","https://github.com/tiangolo/fastapi","Python API Development with FastAPI","Udemy","https://www.udemy.com/course/fastapi-the-complete-course/"
"Backend Developer","Python, Django, PostgreSQL, Celery","Django Task Queue App","Build a Django app with background task processing using Celery Redis and Django REST Framework","https://github.com/django/django","Django for Everybody Specialization","Coursera","https://www.coursera.org/specializations/django"
"Backend Developer","Python, Flask, SQLAlchemy","Flask REST API","Build a RESTful API with Flask Blueprint architecture SQLAlchemy and JWT token-based authentication","https://github.com/pallets/flask","REST APIs with Flask and Python","Udemy","https://www.udemy.com/course/rest-api-flask-and-python/"
"Backend Developer","Java, Spring Boot 3, JPA, MySQL","Spring Boot Banking API","Develop a banking REST API using Spring Boot 3 Spring Security OAuth2 JPA and MySQL","https://github.com/spring-projects/spring-boot","Spring Boot 3 Back End Web Development","Udemy","https://www.udemy.com/course/spring-hibernate-tutorial/"
"Backend Developer","Java, Micronaut, GraalVM","Micronaut Native Service","Build a cloud-native Java microservice with Micronaut framework compiled to GraalVM native image","https://github.com/micronaut-projects/micronaut-core","Java Microservices with Spring Cloud","Coursera","https://www.coursera.org/learn/packt-java-microservices-with-spring-cloud-gya7n"
"Backend Developer","Kotlin, Spring Boot, Coroutines","Kotlin Async REST API","Create an async REST API using Kotlin Coroutines Spring Boot WebFlux and reactive programming","https://github.com/JetBrains/kotlin","Kotlin for Java Developers","Coursera","https://www.coursera.org/learn/kotlin-for-java-developers"
"Backend Developer","Go, Gin, GORM, PostgreSQL","Go URL Shortener","Build a production-ready URL shortener in Go with Gin framework GORM ORM and Redis caching","https://github.com/gin-gonic/gin","Programming with Google Go","Coursera","https://www.coursera.org/specializations/google-golang"
"Backend Developer","Go, Fiber, MongoDB","Go Fiber REST API","Develop a fast REST API using Go Fiber framework MongoDB driver and JWT middleware","https://github.com/gofiber/fiber","Go: The Complete Developer's Guide","Udemy","https://www.udemy.com/course/go-the-complete-developers-guide/"
"Backend Developer","Rust, Actix-web, Diesel","Rust Web API","Build a high-performance REST API in Rust using Actix-web Diesel ORM and PostgreSQL","https://github.com/actix/actix-web","Ultimate Rust Crash Course","Udemy","https://www.udemy.com/course/ultimate-rust-crash-course/"
"Backend Developer","Ruby, Rails 7, Hotwire","Rails 7 Chat App","Build a real-time chat app with Rails 7 Hotwire Turbo Streams ActionCable and PostgreSQL","https://github.com/rails/rails","Ruby on Rails Tutorial","Michael Hartl","https://www.railstutorial.org/"
"Backend Developer","PHP, Laravel 11, Livewire","Laravel SaaS Boilerplate","Create a SaaS starter kit with Laravel 11 Jetstream Livewire Stripe billing and team management","https://github.com/laravel/laravel","Laravel From Scratch","Laracasts","https://laracasts.com/series/laravel-11-from-scratch"
"Backend Developer","C#, ASP.NET Core 8, Entity Framework","ASP.NET Core Web API","Develop a RESTful API with ASP.NET Core 8 Entity Framework Core Fluent Validation and MediatR CQRS","https://github.com/dotnet/aspnetcore","Microsoft ASP.NET Core Developer","Microsoft Learn","https://learn.microsoft.com/en-us/training/paths/build-web-api-aspnet-core/"
"Backend Developer","Elixir, Phoenix, LiveView","Phoenix Real-Time Dashboard","Build a real-time analytics dashboard using Elixir Phoenix Framework LiveView and GenServer","https://github.com/phoenixframework/phoenix","Elixir and Phoenix Bootcamp","Udemy","https://www.udemy.com/course/the-complete-elixir-and-phoenix-bootcamp-and-tutorial/"
"Backend Developer","Scala, Play Framework, Akka","Scala REST API","Create a concurrent REST API in Scala using Play Framework Akka HTTP and Slick for database access","https://github.com/playframework/playframework","Functional Programming in Scala","Coursera","https://www.coursera.org/specializations/scala"
